Number,Country,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Recovered,Active_Cases,Critical_Cases,Total_Cases(1mil pop),Total_Deaths(1mil pop),Total_Tests,Total_Tests(1mil pop),Population(pop)
177,Liechtenstein,21437,,91,,21345,1,,"558,444","2,371","112,457","2,929,559","38,387"
178,Gibraltar,20550,,113,,16579,3858,,"609,720","3,353","534,283","15,852,213","33,704"
179,Grenada,19693,,238,,19358,97,4,"173,545","2,097","182,981","1,612,523","113,475"
180,Bermuda,18860,,165,,18685,10,,"304,493","2,664","1,029,558","16,622,128","61,939"
181,Nicaragua,18491,,225,,4225,14041,,"2,728",33,,,"6,779,100"
182,South Sudan,18368,,138,,18115,115,1,"1,581",12,"410,280","35,313","11,618,511"
183,Tajikistan,17786,,125,,17264,397,,"1,786",13,,,"9,957,464"
184,Equatorial Guinea,17229,,183,,16907,139,5,"11,512",122,"365,697","244,342","1,496,662"
185,Tonga,16814,,13,,15638,1163,,"156,048",121,"535,009","4,965,327","107,749"
186,Samoa,16737,,31,,1605,15101,,"82,759",153,"187,397","926,612","202,239"
187,Monaco,16178,,67,,15992,119,4,"406,656","1,684","78,646","1,976,875","39,783"
188,Marshall Islands,16081,,17,,15954,110,,"267,762",283,,,"60,057"
189,Dominica,15760,,74,,15673,13,,"217,848","1,023","229,344","3,170,187","72,344"
190,Djibouti,15690,,189,,15427,74,,"15,441",186,"305,941","301,094","1,016,097"
191,CAR,15368,,113,,15200,55,2,"3,063",23,"81,294","16,205","5,016,678"
192,Gambia,12626,,372,,12189,65,,"4,935",145,"155,686","60,851","2,558,482"
193,Saint Martin,12293,,63,,1399,10831,7,"309,414","1,586","112,382","2,828,643","39,730"
194,Vanuatu,12014,,14,,11976,24,,"37,330",44,"24,976","77,606","321,832"
195,Greenland,11971,,21,,2761,9189,4,"210,117",369,"164,926","2,894,810","56,973"
196,Yemen,11945,,2159,,9124,662,23,383,69,"329,592","10,579","31,154,867"
197,Caribbean Netherlands,11682,,38,,10476,1168,,"438,398","1,426","30,126","1,130,559","26,647"
198,Sint Maarten,11030,,92,,10905,33,,"250,876","2,093","62,056","1,411,454","43,966"
200,Niger,9931,,312,,8890,729,1,381,12,"254,538","9,759","26,083,660"
201,St. Vincent Grenadines,9611,,124,,9480,7,,"86,158","1,112","114,024","1,022,169","111,551"
202,Guinea-Bissau,9350,,176,,8929,245,6,"4,531",85,"145,231","70,385","2,063,367"
203,Antigua and Barbuda,9106,,146,,8954,6,1,"91,509","1,467","18,901","189,943","99,509"
204,Comoros,9105,,161,,8939,5,,"10,034",177,,,"907,419"
205,Liberia,8090,,295,,7783,12,2,"1,525",56,"139,824","26,356","5,305,117"
207,Chad,7698,,194,,4874,2630,,442,11,"191,341","10,988","17,413,580"
209,Cook Islands,7062,,2,,7059,1,,"401,912",114,"19,690","1,120,596","17,571"
211,Sao Tome and Principe,6568,,80,,6482,6,,"28,848",351,"29,036","127,530","227,679"
212,Turks and Caicos,6565,,38,,6509,18,4,"165,195",956,"612,335","15,408,143","39,741"
215,Nauru,5393,,1,,5347,45,,"494,635",92,"20,509","1,881,042","10,903"
216,Kiribati,5025,,24,,2703,2298,3,"40,715",194,,,"123,419"
217,Anguilla,3904,,12,,3879,13,4,"256,336",788,"51,382","3,373,736","15,230"
218,Macao,3517,,121,,3395,1,,"5,269",181,"7,850","11,760","667,490"
219,Saint Pierre Miquelon,3452,,2,,2449,1001,1,"599,410",347,"25,400","4,410,488","5,759"
220,Wallis and Futuna,3427,,7,,438,2982,,"312,056",637,"20,508","1,867,419","10,982"
224,Montserrat,1403,,8,,1376,19,,"282,578","1,611","17,762","3,577,442","4,965"
231,China,503302,,5272,,379053,118977,,347,4,"160,000,000","110,461","1,448,471,400"
